,提问时间,问题,回答,回答时间,来源
18,04月26日 09:44,:极米科技(688696)请问是否有考虑把晨鑫科技给收购了，现在它只有30亿的市值，相当于公司的十分之一，花不了多少钱，还能补齐公司的短板。自己重新研发芯片又很慢，趁现在晨鑫科技比较便宜，直接买过了算了。,尊敬的投资者，您好，感谢您的宝贵建议。,04月29日 10:24,网站
19,04月26日 14:09,:极米科技(688696)尊敬的董秘：您好。坚果推出智慧墙01产品，用LED光源做了近焦投影仪。公司如果看待该款产品的技术含量及市场定位。未来公司是否会跟进相关的产品？LED光源的效果是否能在未来追赶激光光源，LED近焦投影能否替代激光电视？,尊敬的投资者，您好，LED光源长焦产品是在亮度、色彩和成本三者中比较均衡的选择，公司会综合评估各项技术方案，LED光源超短焦产品的概念很好，但现有技术下产品体验还不能达到我们的期望，需要性能更好的光学仪器才能实现。公司会持续保持探索，在保障家用投影仪色彩等体验的基础上进行产品创新。感谢您的关注!,04月29日 10:23,网站
20,04月28日 12:33,:极米科技(688696)请公司改掉分红的恶习，我们不需要这点蝇头小利，我们需要你们成为伟大的公司，8000万拿来搞研发不好吗？为什么要拿来分红？多招几个工程师搞研发不好吗？如果觉得钱太多可以拿去捐款，做点社会贡献。,尊敬的投资者，您好，公司综合考虑目前所处发展阶段、盈利水平、资金需求等因素，选择有利于投资者分享公司发展成果、取得合理投资回报的分红政策，感谢您的关注!,04月29日 10:23,网站
21,04月09日 08:42,:极米科技(688696)请问贵公司2021年3月31日的持股人数是多少，谢谢！,尊敬的投资者，您好，感谢您对公司的关注，截止2021年3月31日公司股东数量请参阅公司即将披露的年度报告，谢谢！,04月12日 16:58,网站
22,04月08日 08:54,:极米科技(688696)请问公司是否在芯片领域有所布局以增加核心竞争力，毕竟软件、外观、设计、优化等方面太容易被模仿，联想刚开始也是做的很好，后来没花钱在芯片研究，慢慢的就没啥竞争力了，希望公司不要步其后尘。,尊敬的投资者，您好，感谢您对公司的关注。公司持续保持对市场、行业的关注，并从自身的情况和优势出发做业务布局规划，公司目前未涉足投影芯片领域，我们会向管理层转达您的建议，谢谢！,04月12日 08:59,网站
23,04月02日 09:56,:极米科技(688696)请问贵司2021年一季报预计何时披露？,尊敬的投资者，您好，感谢您对公司的关注。公司预约2021年4月23日披露2021年一季报，谢谢！,04月07日 12:35,网站
24,04月02日 08:46,:极米科技(688696)请问贵公司产品，目前国内销售占比多少，日本市场占比多少？欧洲市场占比多少？目前有无新产品在研？进度如何？,尊敬的投资者，您好，感谢您对公司的关注。公司销售市场分布及占比请参阅公司招股说明书，谢谢！,04月07日 12:33,网站
25,03月30日 11:14,:极米科技(688696)董秘您好，请问公司对慧新辰所产的LCOS芯片测试结果如何，能否达到公司要求呢？,尊敬的投资者，您好！感谢您对公司的关注，慧新辰所产的LCOS芯片仍在测试中。目前投影设备照明显示技术主要包括 3LCD、DLP 及 LCOS 三种技术方案，公司主要产品仍应用的是DLP 技术方案，同时公司持续关注着行业动态，丰富各种显示技术方案的储备。公司应用LCOS技术方案实施落地存在较大的不确定性，请投资者注意相关风险。,04月01日 10:24,网站
26,03月29日 09:35,:极米科技(688696)请问公司产品比传统电视机能减少用电量，节能减排，是否可以参与碳交易。,尊敬的投资者，您好！感谢您的关注，公司目前不涉及碳交易。,03月29日 15:44,网站
27,03月15日 08:53,:极米科技(688696)请问公司是否计划发力海外市场？之所以这么多年没有发力海外，是因为什么原因？有什么具体困难吗,尊敬的投资者，您好，近年来公司海外市场收入快速增长，目前已覆盖美国、日本及欧洲等市场，未来公司将积极拓展海外市场，让更多用户了解、喜欢公司的产品，感谢您对公司的关注。,03月17日 17:44,网站
28,03月12日 09:34,:极米科技(688696)董秘您好，极米科技，2020国内投影仪出货量、销售额双冠王，打败了15年来一直爱普生、索尼、NEC 等日系企业占领的局面，欧美市场销量目前也在增加，与此同时公司毛利率同比上涨了35%，是得益于哪方面的原因？ 最后希望公司能够像大疆创新一样，成为细分领域的巨头品牌。,尊敬的投资者，您好，公司毛利率的提升，一方面得益于公司产品优质的使用体验得到了越来越多消费者的认可，品牌口碑不断提高，产品差异化定位被市场所接受，出货量增长的同时产品平均销售单价也在增长；另一方面得益于公司近年来在光学领域的持续研发投入，使公司具备了光机自研并批量导入量产的能力。感谢您的关心和支持！,03月12日 16:04,网站
29,03月10日 08:47,:极米科技(688696)请问贵公司，百度作为公司的股东，公司可不可以向百度申请合作把智能音箱功能搬到极米投影仪里面，这样子变成极米小度投影仪，极米的音响效果很好如果有了百度加持肯定销量会继续大增。股价大涨和百度公司双赢局面。,尊敬的投资者，您好，公司与百度已有多项技术合作，推出了搭载智能语音系统的产品，感谢您对公司的关注，谢谢！,03月12日 16:00,网站
30,03月10日 08:47,:极米科技(688696)请问一下公司2021年度第一季度财务指标同比去年增长有多少？公司可不可以提前预告一下，维稳一下股价。,尊敬的投资者，您好，感谢您对公司的关注。公司按照信息披露制度的相关要求披露2021年度第一季度财务指标信息，敬请关注，谢谢！,03月12日 16:00,Android
31,03月08日 08:33,:极米科技(688696)贵公司你好，我代表SING女团向贵公司提问一下： 1.贵公司有没有利润分配以及股票期权与限制性股票激励计划的计划？ 2.贵公司将如何加强研发能力，提升市场地位? 谢谢!祝公司越做越好！,尊敬的投资者，您好，1.公司利润分配以及股票期权与限制性股票激励计划需根据相关法律法规规定及公司具体经营情况制定，并经公司董事会及股东大会审议批准，详情请关注公司后续信息披露。2.公司以提升产品用户体验为目标进行深入研发及投入，在光机设计、硬件电路设计、整机结构设计、智能感知算法开发、画质优化算法开发、软件系统开发等方面掌握了多项核心技术和能力，持续提升智能投影设备的性能和用户体验。感谢您的关心和支持！,03月09日 16:33,网站
32,03月04日 15:16,:极米科技(688696)请问贵公司是否有结合裸眼3D游戏项目的计划？,尊敬的投资者，您好，公司一直致力于开发具有高易用性、高画质水平和高品价比的智能投影设备，目前暂无结合裸眼3D游戏项目的计划，感谢您的关注，谢谢！,03月08日 09:22,网站
33,03月03日 16:40,:极米科技(688696)建议管理层提议收购四川长虹；当下四川长虹的国资持股23%市值仅28亿，即使溢价到50亿也值；有如下好处：1）快速切入家电赛道并获得大量专利技术积累 2）直接获得电视领域全国第六的市占率，与贵司的激光电视相关技术达成协同效应占领市场 3）同是四川的科技型企业，更何况贵司是成都软件园的第一家本地上市企业，做好新老传承这肯定也是各级愿意看到的。题外话：配合民营敢打敢拚的精神定能救活长虹这个民族品牌,尊敬的投资者，感谢您的关注和建议，谢谢！,03月08日 09:20,网站
